,类别,频次,百分数
0,上海市，市辖区,11,0.0183
1,北京市，市辖区,8,0.013300000000000001
2,天津市，市辖区,8,0.013300000000000001
3,重庆市，市辖区,6,0.01
4,云南省，大理白族自治州,2,0.0033
5,重庆市，县,2,0.0033
6,湖北省，省直辖县级行政区划,1,0.0017000000000000001
